PINN Training Results
==================================================
Final c value: 1.000249
Error in c: 0.000249
Final training loss: 1.526947e-06

Training History:
Epoch 234: loss=8.450560e-04, c=0.868015
Epoch 235: loss=6.590883e-04, c=0.869781
Epoch 236: loss=3.049672e-04, c=0.871531
Epoch 237: loss=1.686766e-04, c=0.873247
Epoch 238: loss=3.212248e-04, c=0.874915
Epoch 239: loss=5.077592e-04, c=0.876499
Epoch 240: loss=4.851996e-04, c=0.878083
Epoch 241: loss=2.861176e-04, c=0.879645
Epoch 242: loss=1.493561e-04, c=0.881211
Epoch 243: loss=1.994568e-04, c=0.882772
Epoch 244: loss=3.185012e-04, c=0.884274
Epoch 245: loss=3.385985e-04, c=0.885747
Epoch 246: loss=2.302990e-04, c=0.887177
Epoch 247: loss=1.351159e-04, c=0.888595
Epoch 248: loss=1.453662e-04, c=0.890009
Epoch 249: loss=2.118442e-04, c=0.891403
Epoch 250: loss=2.357950e-04, c=0.892787
Epoch 251: loss=1.874778e-04, c=0.894129
Epoch 252: loss=1.254913e-04, c=0.895443
Epoch 253: loss=1.139163e-04, c=0.896738
Epoch 254: loss=1.398595e-04, c=0.898021
Epoch 255: loss=1.588238e-04, c=0.899299
Epoch 256: loss=1.398362e-04, c=0.900537
Epoch 257: loss=1.114541e-04, c=0.901766
Epoch 258: loss=9.993150e-05, c=0.902983
Epoch 259: loss=1.084639e-04, c=0.904162
Epoch 260: loss=1.221977e-04, c=0.905330
Epoch 261: loss=1.141543e-04, c=0.906480
Epoch 262: loss=9.719132e-05, c=0.907630
Epoch 263: loss=8.810948e-05, c=0.908787
Epoch 264: loss=8.950536e-05, c=0.909914
Epoch 265: loss=9.694373e-05, c=0.910999
Epoch 266: loss=9.579823e-05, c=0.912055
Epoch 267: loss=8.561807e-05, c=0.913107
Epoch 268: loss=7.807891e-05, c=0.914170
Epoch 269: loss=7.648079e-05, c=0.915243
Epoch 270: loss=7.795091e-05, c=0.916290
Epoch 271: loss=8.224318e-05, c=0.917294
Epoch 272: loss=8.066044e-05, c=0.918283
Epoch 273: loss=7.341719e-05, c=0.919256
Epoch 274: loss=6.764049e-05, c=0.920235
Epoch 275: loss=6.680992e-05, c=0.921216
Epoch 276: loss=6.693747e-05, c=0.922169
Epoch 277: loss=6.757030e-05, c=0.923103
Epoch 278: loss=6.680999e-05, c=0.924026
Epoch 279: loss=6.448057e-05, c=0.924951
Epoch 280: loss=6.060801e-05, c=0.925865
Epoch 281: loss=5.866092e-05, c=0.926767
Epoch 282: loss=5.732565e-05, c=0.927639
Epoch 283: loss=5.632064e-05, c=0.928500
Epoch 284: loss=5.618040e-05, c=0.929364
Epoch 285: loss=5.410991e-05, c=0.930236
Epoch 286: loss=5.189776e-05, c=0.931085
Epoch 287: loss=5.128240e-05, c=0.931907
Epoch 288: loss=5.091785e-05, c=0.932722
Epoch 289: loss=5.009660e-05, c=0.933534
Epoch 290: loss=4.852090e-05, c=0.934338
Epoch 291: loss=4.830960e-05, c=0.935140
Epoch 292: loss=4.631758e-05, c=0.935929
Epoch 293: loss=4.641325e-05, c=0.936698
Epoch 294: loss=4.501487e-05, c=0.937458
Epoch 295: loss=4.474130e-05, c=0.938211
Epoch 296: loss=4.481501e-05, c=0.938967
Epoch 297: loss=4.460914e-05, c=0.939715
Epoch 298: loss=4.257939e-05, c=0.940455
Epoch 299: loss=4.110611e-05, c=0.941170
Epoch 300: loss=4.003490e-05, c=0.941878
Epoch 301: loss=3.848190e-05, c=0.942585
Epoch 302: loss=3.697800e-05, c=0.943288
Epoch 303: loss=3.742814e-05, c=0.943981
Epoch 304: loss=3.646692e-05, c=0.944653
Epoch 305: loss=3.522903e-05, c=0.945313
Epoch 306: loss=3.582052e-05, c=0.945984
Epoch 307: loss=3.495920e-05, c=0.946643
Epoch 308: loss=3.426027e-05, c=0.947290
Epoch 309: loss=3.326662e-05, c=0.947927
Epoch 310: loss=3.324771e-05, c=0.948564
Epoch 311: loss=3.284936e-05, c=0.949197
Epoch 312: loss=3.164775e-05, c=0.949809
Epoch 313: loss=3.095470e-05, c=0.950412
